Python 3.4.3 (v3.4.3:9b73f1c3e601, Feb 24 2015, 22:43:06) [MSC v.1600 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
('---', '.CV')
('!!!', '.CV')
('"', '')
('~~~', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
('،،،', '.CV')
("'A", '.CV')
("'A", '.CV')
("'aAkeS", '.CV.CVC')
("'a'amm", '.CV.CVCC')
("'a'ArofbardAr", '.CV.CV.CVC.CVC.CVC')
("'a'Azem", '.CV.CV.CVC')
("'Ab", '.CVC')
("'Ab", '.CVC')
("'ab", '.CVC')
("'AbA", '.CV.CV')
("'abA", '.CV.CV')
("'abA'abdellAh", '.CV.CV.CVC.CVC.CVC')
("'abA'abdolmalek", '.CV.CV.CVC.CVC.CV.CVC')
("'abA'abdorrahmAn", '.CV.CV.CVC.CVC.CVC.CVC')
("'abAbAfi", '.CV.CV.CV.CV')
("'abAbakr", '.CV.CV.CVCC')
("'abAbil", '.CV.CV.CVC')
("'AbAd", '.CV.CVC')
("'abad", '.CV.CVC')
("'ab'Ad", '.CVC.CVC')
("'abadA", '.CV.CV.CV')
("'AbAdAn", '.CV.CV.CVC')
("'abadan", '.CV.CV.CVC')
("'abadAn", '.CV.CV.CVC')
("'AbAdAni", '.CV.CV.CV.CV')
("'AbAde", '.CV.CV.CV')
("'AbAdgar", '.CV.CVC.CVC')
("'AbAdgari", '.CV.CVC.CV.CV')
("'AbAdi", '.CV.CV.CV')
("'abadi", '.CV.CV.CV')
("'ab'Adi", '.CVC.CV.CV')
("'abadiyyat", '.CV.CV.CVC.CVC')
("'abadoddahr", '.CV.CV.CVC.CVCC')
("'abadol'AbAd", '.CV.CV.CVC.CV.CVC')
("'AbAdsAzi", '.CV.CVC.CV.CV')
("'AbAhak", '.CV.CV.CVC')
("'abAhASem", '.CV.CV.CV.CVC')
("'abAja'far", '.CV.CV.CVC.CVC')
("'AbAji", '.CV.CV.CV')
("'AbAkA", '.CV.CV.CV')
("'Abaki", '.CV.CV.CV')
("'abAlfazle'abbAs", '.CV.CVC.CVC.CV.CVC.CVC')
("'Ab'ali", '.CVC.CV.CV')
("'AbAlu", '.CV.CV.CV')
("'AbAn", '.CV.CVC')
("'AbanbAr", '.CV.CVC.CVC')
("'AbAnmAh", '.CV.CVC.CVC')
("'AbAqA", '.CV.CV.CV')
("'AbAqAxAn", '.CV.CV.CV.CVC')
("'AbAr", '.CV.CVC')
("'abar", '.CV.CVC')
("'abar'angal", '.CV.CVC.CVC.CVC')
("'abardeZ", '.CV.CVC.CVC')
("'AbAre", '.CV.CV.CV')
("'abarhArd", '.CV.CVC.CVCC')
("'abarhaSare", '.CV.CVC.CV.CV.CV')
("'abarhokumat", '.CV.CVC.CV.CV.CVC')
("'abarjenAyatkAr", '.CV.CVC.CV.CV.CVC.CVC')
